culture_id,time,Nutrients,Pheromone,HU,LatA,Nocodazole,temperature,pH,DO,glucose_uptake,product,biomass,R_stress,R_resource,R_checkpoint,R_pathway_capacity,R_morphology,R_energy
rxncon_gsm_env_000,0.0,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0,0.0814236460538929,0.5760237277991481,0.5497401611848842,0.53958859472531,0.5817013952057303,0.5938399241902043,0.5542385589920032
rxncon_gsm_env_000,0.25,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0003634370643788,0.0807692206383457,0.4826084853928837,0.5836104215875213,0.6041743733135106,0.5482381217269705,0.6237697012306369,0.5198345076062686
rxncon_gsm_env_000,0.5,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0004443390610664,0.0796964534012407,0.5038857398059698,0.5326256714816365,0.5349414910806459,0.5894969820943653,0.5965327256452546,0.5715403000383432
rxncon_gsm_env_000,0.75,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0007925746387259,0.0812848324319411,0.6106745311224375,0.5913766979649857,0.5975759790629577,0.4860866816749111,0.6281105923099589,0.5826961234868955
rxncon_gsm_env_000,1.0,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0007545979430193,0.0796745446877097,0.5909371094747684,0.5904398990594218,0.580468602463638,0.5365701923359163,0.6406841659912013,0.5704507550688858
rxncon_gsm_env_000,1.25,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0012114476116434,0.081253504531962,0.5310758002268351,0.5427257785109411,0.5326664823083619,0.5659465054061019,0.6644679392456937,0.5367916107596243
rxncon_gsm_env_000,1.5,0,0,0,0,0,27.0,4.5,20.0,6.0,0.001336218538188,0.0814053782766905,0.5891903366131697,0.5642363283988636,0.5511597463698302,0.5823363395131547,0.6511728731829448,0.5254931908635901
rxncon_gsm_env_000,1.75,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0014535982095407,0.0801989780498032,0.5264013546084686,0.5543842527171909,0.5277424847014063,0.6139414705113744,0.5751833742921142,0.5048984421415073
rxncon_gsm_env_000,2.0,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0017056770753165,0.0826935873162665,0.5166503586319885,0.5504496719501233,0.5831291953519339,0.5753901821738929,0.556535813983618,0.5908237915610361
rxncon_gsm_env_000,2.25,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0019788552821732,0.079949851847085,0.5730885123910519,0.545667411080816,0.5230353010348646,0.5480341519967296,0.6326522356749983,0.5012482288762904
rxncon_gsm_env_000,2.5,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0021883606032616,0.0800188808947949,0.5562934059712007,0.54178562598137,0.6073854004747423,0.5675324029546643,0.6376442705269059,0.5766181462552965
rxncon_gsm_env_000,2.75,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0024474811708065,0.0819457552640545,0.5611906039335347,0.567501940265754,0.5412296752249727,0.527666839764099,0.5933381504985787,0.549335858589398
rxncon_gsm_env_000,3.0,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0024598010640146,0.0822005325793793,0.4998662247369633,0.5289713037553708,0.5963427530883976,0.5463959129538957,0.5582670205681053,0.4583876939108915
rxncon_gsm_env_000,3.25,0,0,0,0,0,27.0,4.5,20.0,6.0,0.002940952709013,0.0851854035475484,0.500537602593352,0.5672426301944253,0.5978380182068437,0.5866899508163684,0.6213480601069492,0.56903825983228
rxncon_gsm_env_000,3.5,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0031006442829295,0.0826297794527343,0.6132953057427643,0.5577407173956958,0.4912661994732619,0.5061470919077025,0.6414429567806367,0.5383373314459095
rxncon_gsm_env_000,3.75,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0033701585659836,0.086056902358708,0.5080060356762683,0.5709194778158779,0.5433784424432563,0.5381096987771551,0.6167426740977502,0.5582871612973292
rxncon_gsm_env_000,4.0,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0037451229414502,0.0837763435070787,0.5505454248172376,0.5493200613542387,0.6014277940701792,0.5639452392571074,0.6177655407038098,0.5230781236506663
rxncon_gsm_env_000,4.25,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0037029201014739,0.0835594244417241,0.5212598325849523,0.6147896894005952,0.5471044546191062,0.6019812712239093,0.6052010695246518,0.5911382438464671
rxncon_gsm_env_000,4.5,0,0,0,0,0,27.0,4.5,20.0,6.0,0.0038659159859903,0.0853422141599049,0.523861726191292,0.5704733544529653,0.5775150149194289,0.5396033076589507,0.649909469646345,0.4699672556657058
